Frequency (Hz)	Level (dB)
283.203125	-73.520920
284.179688	-72.633385
285.156250	-73.320663
286.132812	-72.715240
287.109375	-72.164963
288.085938	-71.709595
289.062500	-70.453529
290.039062	-71.160126
291.015625	-70.972527
291.992188	-69.897926
292.968750	-70.266525
293.945312	-70.338699
294.921875	-70.892105
295.898438	-69.799538
296.875000	-70.369675
297.851562	-70.990555
298.828125	-71.042137
299.804688	-71.428368
300.781250	-72.110489
301.757812	-72.736465
302.734375	-71.680862
303.710938	-72.497208
304.687500	-72.968506
305.664062	-73.535019
306.640625	-73.966644
307.617188	-73.931419
308.593750	-73.203522
309.570312	-75.311745
310.546875	-75.462418
311.523438	-76.028526
312.500000	-76.384087
313.476562	-76.764168
314.453125	-76.876022
315.429688	-76.551498
316.406250	-76.598984
317.382812	-78.131508
318.359375	-77.707565
319.335938	-78.284271
320.312500	-78.785217
321.289062	-78.982361
322.265625	-79.235695
323.242188	-78.801056
324.218750	-79.777214
325.195312	-78.932243
326.171875	-79.334457
327.148438	-80.109070
328.125000	-79.112610
329.101562	-80.484093
330.078125	-79.724594
331.054688	-79.736877
332.031250	-79.527473
333.007812	-79.727127
333.984375	-80.264847
334.960938	-81.095001
335.937500	-80.112999
336.914062	-81.253654
337.890625	-79.554771
338.867188	-80.862617
339.843750	-81.004219
340.820312	-81.554749
341.796875	-81.943527
342.773438	-81.724472
343.750000	-81.091270
344.726562	-81.183083
345.703125	-81.972511
346.679688	-82.312531
347.656250	-81.060699
348.632812	-81.435181
349.609375	-81.542084
350.585938	-82.305283
351.562500	-82.152969
352.539062	-82.070213
353.515625	-82.298744
354.492188	-82.413933
355.468750	-81.810387
356.445312	-82.237610
357.421875	-81.517189
358.398438	-81.910202
359.375000	-82.084595
360.351562	-82.461464
361.328125	-82.440346
362.304688	-82.268562
363.281250	-82.507843
364.257812	-82.865578
365.234375	-82.329521
366.210938	-82.000771
367.187500	-82.171616
368.164062	-81.853416
369.140625	-82.731438
370.117188	-82.418198
371.093750	-81.447205
372.070312	-82.373245
373.046875	-82.087051
374.023438	-82.193474
375.000000	-82.504097
375.976562	-82.232109
376.953125	-82.560875
377.929688	-82.040215
378.906250	-81.896507
379.882812	-81.192101
380.859375	-81.902229
381.835938	-82.570747
382.812500	-82.873207
383.789062	-81.313911
384.765625	-81.940903
385.742188	-81.963272
386.718750	-81.667717
387.695312	-80.937958
388.671875	-81.955933
389.648438	-81.770676
390.625000	-81.205299
391.601562	-81.701782
392.578125	-81.453789
393.554688	-79.973648
394.531250	-80.902565
395.507812	-80.155098
396.484375	-79.832642
397.460938	-81.007462
398.437500	-80.573662
399.414062	-80.032623
400.390625	-80.152000
401.367188	-79.827171
402.343750	-79.736038
403.320312	-79.330040
404.296875	-78.822128
405.273438	-79.425240
406.250000	-79.350594
407.226562	-78.407791
408.203125	-78.352913
409.179688	-77.925713
410.156250	-78.415047
411.132812	-77.500969
412.109375	-77.246727
413.085938	-77.304497
414.062500	-77.224014
415.039062	-77.217628
416.015625	-75.857208
416.992188	-76.047714
417.968750	-76.213402
418.945312	-75.395531
419.921875	-75.405167
420.898438	-75.116806
421.875000	-74.632568
422.851562	-73.350113
423.828125	-74.563370
424.804688	-72.675369
425.781250	-72.250290
426.757812	-72.442909
427.734375	-72.186493
428.710938	-71.982086
429.687500	-71.119499
430.664062	-70.870262
431.640625	-69.630592
432.617188	-70.423943
433.593750	-69.092064
434.570312	-67.871918
435.546875	-69.287529
436.523438	-68.649559
437.500000	-67.218513
438.476562	-68.350044
439.453125	-68.027184
440.429688	-68.741219
441.406250	-67.307129
442.382812	-68.340439
443.359375	-68.924965
444.335938	-69.165649
445.312500	-69.349838
446.289062	-69.747025
447.265625	-69.894783
448.242188	-70.075462
449.218750	-70.966858
450.195312	-72.115700
451.171875	-71.855682
452.148438	-72.149788
453.125000	-72.504822
454.101562	-73.126534
455.078125	-72.802200
456.054688	-73.853294
457.031250	-74.617516
458.007812	-75.431816
458.984375	-75.572899
459.960938	-75.013084
460.937500	-75.281006
461.914062	-75.747658
462.890625	-76.348488
463.867188	-76.218346
464.843750	-77.202065
465.820312	-76.428818
466.796875	-77.127953
467.773438	-77.393051
468.750000	-77.911133
469.726562	-78.112236
470.703125	-77.616791
471.679688	-77.742386
472.656250	-77.814629
473.632812	-79.810326
474.609375	-78.510460
475.585938	-79.349792
476.562500	-78.846565
477.539062	-79.026268
478.515625	-78.712845
479.492188	-78.660477
480.468750	-80.219505
481.445312	-79.443367
482.421875	-79.276421
483.398438	-79.025703
484.375000	-79.728325
485.351562	-80.504456
486.328125	-80.951935
487.304688	-80.413658
488.281250	-79.711388
489.257812	-79.699524
490.234375	-81.296661
491.210938	-80.349358
492.187500	-80.628792
493.164062	-81.052689
494.140625	-80.426796
495.117188	-80.167831
496.093750	-80.411598
497.070312	-81.413826
498.046875	-81.320869
499.023438	-81.067345
500.000000	-81.487564
500.976562	-80.516121
501.953125	-81.014236
502.929688	-81.392479
503.906250	-81.001518
504.882812	-81.746696
505.859375	-81.495087
506.835938	-80.421875
507.812500	-81.487251
508.789062	-80.745468
509.765625	-81.384315
510.742188	-80.485359
511.718750	-81.708473
512.695312	-81.205498
513.671875	-81.228493
514.648438	-82.181839
515.625000	-81.411896
516.601562	-80.552734
517.578125	-81.467445
518.554688	-80.957657
519.531250	-80.397812
520.507812	-80.892281
521.484375	-80.392494
522.460938	-81.860870
523.437500	-80.734612
524.414062	-80.749374
525.390625	-80.441277
526.367188	-79.840996
527.343750	-80.556854
528.320312	-79.922279
529.296875	-79.343018
530.273438	-80.396118
531.250000	-80.034821
532.226562	-80.017632
533.203125	-79.479218
534.179688	-80.009644
535.156250	-79.496117
536.132812	-80.274399
537.109375	-79.445511
538.085938	-80.072456
539.062500	-80.240135
540.039062	-79.016182
541.015625	-78.852196
541.992188	-78.684402
542.968750	-79.756454
543.945312	-79.415359
544.921875	-78.585846
545.898438	-78.439178
546.875000	-78.249275
547.851562	-77.821205
548.828125	-78.223488
549.804688	-78.441971
550.781250	-79.186554
551.757812	-78.196167
552.734375	-77.405235
553.710938	-77.121040
554.687500	-77.426132
555.664062	-76.713486
556.640625	-76.315216
557.617188	-76.561943
558.593750	-76.313202
559.570312	-75.272873
560.546875	-75.511589
561.523438	-74.916328
562.500000	-73.968285
563.476562	-74.915993
564.453125	-73.962471
565.429688	-73.883728
566.406250	-73.161293
567.382812	-72.489799
568.359375	-72.955795
569.335938	-72.641861
570.312500	-72.042953
571.289062	-71.134583
572.265625	-70.282745
573.242188	-70.497032
574.218750	-69.940872
575.195312	-70.185471
576.171875	-69.268044
577.148438	-68.795166
578.125000	-68.522705
579.101562	-69.141296
580.078125	-68.177948
581.054688	-67.815544
582.031250	-67.683601
583.007812	-66.512100
583.984375	-66.723961
584.960938	-67.306030
585.937500	-67.069122
586.914062	-66.081642
587.890625	-66.822014
588.867188	-67.510330
589.843750	-67.925598
590.820312	-69.080879
591.796875	-68.341866
592.773438	-69.253677
593.750000	-69.787514
594.726562	-70.035072
595.703125	-70.342018
596.679688	-71.028572
597.656250	-71.797318
598.632812	-71.622917
599.609375	-70.885239
600.585938	-72.422447
601.562500	-73.586189
602.539062	-72.843216
603.515625	-73.804428
604.492188	-74.222519
605.468750	-73.970345
606.445312	-73.507111
607.421875	-74.457932
608.398438	-75.149170
609.375000	-74.400833
610.351562	-75.332451
611.328125	-76.394371
612.304688	-76.712456
613.281250	-75.218605
614.257812	-76.101463
615.234375	-77.302940
616.210938	-77.353462
617.187500	-77.056450
618.164062	-77.543976
619.140625	-77.401604
620.117188	-77.788528
621.093750	-78.848618
622.070312	-77.707428
623.046875	-78.663895
624.023438	-78.469383
625.000000	-78.417854
625.976562	-79.449753
626.953125	-79.256149
627.929688	-78.201988
628.906250	-78.311333
629.882812	-79.170898
630.859375	-78.589470
631.835938	-79.453346
632.812500	-78.947975
633.789062	-78.838234
634.765625	-78.582886
635.742188	-79.118347
636.718750	-79.520889
637.695312	-79.438721
638.671875	-80.454391
639.648438	-80.541367
640.625000	-80.204605
641.601562	-79.630989
642.578125	-80.268570
643.554688	-79.805519
644.531250	-80.621056
645.507812	-80.004822
646.484375	-80.183388
647.460938	-79.858528
648.437500	-80.469215
649.414062	-79.613716
650.390625	-80.016319
651.367188	-79.492836
652.343750	-79.811897
653.320312	-80.440804
654.296875	-80.449348
655.273438	-79.979492
656.250000	-79.644737
657.226562	-79.974106
658.203125	-79.780289
659.179688	-79.411949
660.156250	-80.106689
661.132812	-79.838631
662.109375	-80.036217
663.085938	-80.137558
664.062500	-80.214272
665.039062	-80.770470
666.015625	-80.677032
666.992188	-80.283257
667.968750	-79.302521
668.945312	-79.948593
669.921875	-79.982765
670.898438	-79.752357
671.875000	-79.563278
672.851562	-79.187874
673.828125	-78.719208
674.804688	-78.970375
675.781250	-79.495895
676.757812	-79.896645
677.734375	-79.650131
678.710938	-78.944557
679.687500	-78.603249
680.664062	-78.940697
681.640625	-78.546616
682.617188	-78.818352
683.593750	-77.971306
684.570312	-78.401466
685.546875	-77.997963
686.523438	-78.430260
687.500000	-78.682274
688.476562	-77.384293
689.453125	-77.464546
690.429688	-77.712265
691.406250	-76.963203
692.382812	-76.910431
693.359375	-77.720695
694.335938	-77.033318
695.312500	-77.006065
696.289062	-76.439140
697.265625	-75.865089
698.242188	-75.928665
699.218750	-75.985069
700.195312	-76.443481
701.171875	-75.400620
702.148438	-75.343506
703.125000	-74.490845
704.101562	-75.228050
705.078125	-74.920586
706.054688	-74.344131
707.031250	-73.430656
708.007812	-73.142120
708.984375	-73.245285
709.960938	-73.473251
710.937500	-72.930405
711.914062	-72.955902
712.890625	-71.572166
713.867188	-71.232018
714.843750	-70.804375
715.820312	-69.930634
716.796875	-70.903107
717.773438	-70.385986
718.750000	-69.200012
719.726562	-69.074799
720.703125	-67.855881
721.679688	-68.230522
722.656250	-67.365509
723.632812	-66.533234
724.609375	-65.293182
725.585938	-65.587173
726.562500	-64.821053
727.539062	-64.822502
728.515625	-63.715221
729.492188	-64.925369
730.468750	-64.206551
731.445312	-64.623734
732.421875	-64.972633
733.398438	-65.092606
734.375000	-65.080811
735.351562	-65.944695
736.328125	-66.601082
737.304688	-66.968376
738.281250	-67.705017
739.257812	-67.553696
740.234375	-67.590363
741.210938	-69.863022
742.187500	-70.029709
743.164062	-69.603554
744.140625	-70.184914
745.117188	-70.676033
746.093750	-71.049492
747.070312	-72.306610
748.046875	-72.584541
749.023438	-72.291740
750.000000	-72.790947
750.976562	-73.359131
751.953125	-73.747147
752.929688	-74.178436
753.906250	-73.472282
