Frequency (Hz)	Level (dB)
283.203125	-86.772064
284.179688	-86.272766
285.156250	-86.928238
286.132812	-86.646507
287.109375	-86.824615
288.085938	-86.500587
289.062500	-85.816643
290.039062	-86.654762
291.015625	-87.044777
291.992188	-86.063103
292.968750	-86.388504
293.945312	-86.572311
294.921875	-86.978745
295.898438	-86.060547
296.875000	-86.658737
297.851562	-86.809975
298.828125	-86.826698
299.804688	-86.595222
300.781250	-86.749138
301.757812	-87.102936
302.734375	-86.069351
303.710938	-86.039261
304.687500	-86.102844
305.664062	-86.053024
306.640625	-86.670410
307.617188	-86.003944
308.593750	-85.311157
309.570312	-86.292221
310.546875	-86.518791
311.523438	-86.802620
312.500000	-86.301056
313.476562	-86.729279
314.453125	-86.451157
315.429688	-85.806282
316.406250	-85.780006
317.382812	-87.016663
318.359375	-86.554108
319.335938	-86.400574
320.312500	-87.124413
321.289062	-87.030174
322.265625	-86.645699
323.242188	-86.238113
324.218750	-87.194809
325.195312	-86.543098
326.171875	-86.395439
327.148438	-87.113388
328.125000	-86.236145
329.101562	-87.511528
330.078125	-86.581352
331.054688	-86.473366
332.031250	-85.798790
333.007812	-85.829094
333.984375	-86.229851
334.960938	-87.247040
335.937500	-86.167297
336.914062	-87.391243
337.890625	-85.182808
338.867188	-86.683784
339.843750	-86.566315
340.820312	-86.835434
341.796875	-87.090271
342.773438	-87.334648
343.750000	-86.206436
344.726562	-86.135826
345.703125	-86.849586
346.679688	-87.114594
347.656250	-85.999893
348.632812	-86.451805
349.609375	-86.576149
350.585938	-86.941628
351.562500	-87.015594
352.539062	-86.667351
353.515625	-86.799545
354.492188	-86.541779
355.468750	-86.274139
356.445312	-86.132065
357.421875	-86.278397
358.398438	-86.603806
359.375000	-86.798424
360.351562	-87.171989
361.328125	-86.606247
362.304688	-86.563416
363.281250	-86.898026
364.257812	-86.869934
365.234375	-86.674057
366.210938	-86.755127
367.187500	-86.385475
368.164062	-85.755814
369.140625	-87.358269
370.117188	-86.451416
371.093750	-86.009476
372.070312	-86.364761
373.046875	-86.601105
374.023438	-86.457848
375.000000	-87.196686
375.976562	-86.686768
376.953125	-87.183365
377.929688	-86.145584
378.906250	-86.077660
379.882812	-85.769348
380.859375	-86.474091
381.835938	-87.067375
382.812500	-87.257767
383.789062	-86.232948
384.765625	-86.523705
385.742188	-87.011230
386.718750	-87.012627
387.695312	-85.795448
388.671875	-87.126213
389.648438	-87.156044
390.625000	-86.688011
391.601562	-86.947861
392.578125	-87.090530
393.554688	-85.589310
394.531250	-86.617432
395.507812	-86.109978
396.484375	-85.690659
397.460938	-87.460968
398.437500	-86.810989
399.414062	-86.551872
400.390625	-86.605721
401.367188	-86.400093
402.343750	-86.724838
403.320312	-86.515076
404.296875	-86.286530
405.273438	-86.482338
406.250000	-86.996651
407.226562	-86.682343
408.203125	-86.234978
409.179688	-86.067169
410.156250	-87.003586
411.132812	-86.040298
412.109375	-86.418678
413.085938	-86.326004
414.062500	-86.451973
415.039062	-86.723862
416.015625	-85.702576
416.992188	-86.407867
417.968750	-86.507721
418.945312	-86.227936
419.921875	-86.466675
420.898438	-86.487892
421.875000	-86.391510
422.851562	-85.726013
423.828125	-86.959572
424.804688	-85.751534
425.781250	-85.345245
426.757812	-86.430672
427.734375	-86.926117
428.710938	-87.041397
429.687500	-86.260117
430.664062	-86.503654
431.640625	-85.378120
432.617188	-86.522255
433.593750	-85.775230
434.570312	-84.920837
435.546875	-86.935806
436.523438	-86.390175
437.500000	-85.736923
438.476562	-86.483864
439.453125	-86.380051
440.429688	-86.851730
441.406250	-85.624336
442.382812	-85.916222
443.359375	-86.208817
444.335938	-85.793098
445.312500	-85.877579
446.289062	-85.445465
447.265625	-85.157913
448.242188	-84.837692
449.218750	-85.796364
450.195312	-86.650330
451.171875	-85.765717
452.148438	-85.554276
453.125000	-85.370773
454.101562	-85.963127
455.078125	-85.047150
456.054688	-85.699158
457.031250	-86.215141
458.007812	-86.323082
458.984375	-85.763634
459.960938	-85.496719
460.937500	-85.357658
461.914062	-85.493103
462.890625	-86.195686
463.867188	-85.823059
464.843750	-86.007004
465.820312	-85.261536
466.796875	-85.716209
467.773438	-85.825668
468.750000	-86.141754
469.726562	-86.070068
470.703125	-85.523056
471.679688	-85.203148
472.656250	-84.828308
473.632812	-86.394714
474.609375	-85.299309
475.585938	-85.844803
476.562500	-85.599373
477.539062	-85.986496
478.515625	-85.312469
479.492188	-85.097237
480.468750	-86.074493
481.445312	-85.438652
482.421875	-85.249901
483.398438	-85.164520
484.375000	-85.142548
485.351562	-85.944916
486.328125	-85.813164
487.304688	-85.650833
488.281250	-84.884750
489.257812	-84.704735
490.234375	-85.942467
491.210938	-85.249893
492.187500	-85.085037
493.164062	-85.807152
494.140625	-85.262810
495.117188	-84.387085
496.093750	-84.693581
497.070312	-85.258293
498.046875	-85.673149
499.023438	-85.210831
500.000000	-85.079086
500.976562	-84.507355
501.953125	-85.115852
502.929688	-85.324036
503.906250	-84.518753
504.882812	-85.057274
505.859375	-85.271324
506.835938	-83.738846
507.812500	-85.128593
508.789062	-84.375465
509.765625	-85.137108
510.742188	-84.285088
511.718750	-84.839607
512.695312	-84.557297
513.671875	-84.895203
514.648438	-85.626999
515.625000	-84.738693
516.601562	-84.393303
517.578125	-85.307327
518.554688	-84.455948
519.531250	-84.241692
520.507812	-84.473152
521.484375	-84.113457
522.460938	-85.386459
523.437500	-84.472260
524.414062	-84.513710
525.390625	-84.627701
526.367188	-83.657387
527.343750	-84.512337
528.320312	-83.914909
529.296875	-83.217735
530.273438	-84.512398
531.250000	-83.915031
532.226562	-84.077133
533.203125	-83.503830
534.179688	-84.483894
535.156250	-83.940025
536.132812	-84.550079
537.109375	-83.789764
538.085938	-84.456230
539.062500	-85.237892
540.039062	-83.793396
541.015625	-83.466629
541.992188	-83.668457
542.968750	-84.531380
543.945312	-84.434143
544.921875	-83.756386
545.898438	-83.902344
546.875000	-83.712051
547.851562	-83.478249
548.828125	-83.830566
549.804688	-84.405884
550.781250	-85.150787
551.757812	-84.575325
552.734375	-83.931358
553.710938	-84.136665
554.687500	-84.119080
555.664062	-83.822136
556.640625	-83.752739
557.617188	-84.174850
558.593750	-84.518883
559.570312	-83.319374
560.546875	-83.613739
561.523438	-83.365776
562.500000	-82.877731
563.476562	-84.531509
