Frequency (Hz)	Level (dB)
283.203125	-66.819061
284.179688	-67.112846
285.156250	-67.943573
286.132812	-67.973038
287.109375	-68.094933
288.085938	-68.116302
289.062500	-67.349434
290.039062	-68.650375
291.015625	-69.169037
291.992188	-68.605537
292.968750	-69.145386
293.945312	-69.326904
294.921875	-70.172592
295.898438	-69.159943
296.875000	-69.735443
297.851562	-70.516930
298.828125	-70.404312
299.804688	-70.536507
300.781250	-71.146904
301.757812	-71.367226
302.734375	-70.307388
303.710938	-70.614861
304.687500	-70.970650
305.664062	-71.451477
306.640625	-71.480125
307.617188	-71.381081
308.593750	-70.911270
309.570312	-72.282539
310.546875	-71.929749
311.523438	-72.654900
312.500000	-72.352119
313.476562	-73.001686
314.453125	-72.649246
315.429688	-71.911522
316.406250	-71.981422
317.382812	-73.680489
318.359375	-73.027596
319.335938	-73.100281
320.312500	-73.987663
321.289062	-73.940987
322.265625	-74.017204
323.242188	-73.668762
324.218750	-74.533577
325.195312	-73.838448
326.171875	-73.919098
327.148438	-74.973625
328.125000	-73.782501
329.101562	-75.304192
330.078125	-74.460579
331.054688	-74.270599
332.031250	-74.092262
333.007812	-73.883614
333.984375	-74.235733
334.960938	-75.479202
335.937500	-74.483688
336.914062	-75.654648
337.890625	-73.949074
338.867188	-74.999916
339.843750	-75.283539
340.820312	-75.534050
341.796875	-76.122612
342.773438	-75.754234
343.750000	-75.122902
344.726562	-74.784103
345.703125	-76.111069
346.679688	-75.624435
347.656250	-75.040321
348.632812	-75.363960
349.609375	-75.922409
350.585938	-75.863312
351.562500	-75.933670
352.539062	-75.688454
353.515625	-76.175842
354.492188	-76.154305
355.468750	-75.579521
356.445312	-75.767532
357.421875	-75.740593
358.398438	-76.035202
359.375000	-76.532661
360.351562	-76.845886
361.328125	-76.750526
362.304688	-76.296616
363.281250	-76.457123
364.257812	-76.565239
365.234375	-76.508621
366.210938	-76.389107
367.187500	-76.349228
368.164062	-75.952850
369.140625	-76.945732
370.117188	-76.510796
371.093750	-76.009598
372.070312	-76.810089
373.046875	-76.522980
374.023438	-76.335571
375.000000	-76.975479
375.976562	-76.702820
376.953125	-77.031212
377.929688	-76.378922
378.906250	-76.439972
379.882812	-76.082741
380.859375	-77.132751
381.835938	-77.228508
382.812500	-77.656044
383.789062	-76.636879
384.765625	-76.911789
385.742188	-77.220612
386.718750	-77.353729
387.695312	-76.448196
388.671875	-77.587090
389.648438	-77.300713
390.625000	-76.844322
391.601562	-77.471169
392.578125	-77.481491
393.554688	-75.870071
394.531250	-77.039085
395.507812	-76.507126
396.484375	-76.198715
397.460938	-77.479759
398.437500	-77.100243
399.414062	-76.687233
400.390625	-77.212227
401.367188	-76.768478
402.343750	-77.138702
403.320312	-77.078445
404.296875	-76.391197
405.273438	-76.931549
406.250000	-77.257820
407.226562	-76.689621
408.203125	-76.443336
409.179688	-76.403214
410.156250	-77.051567
411.132812	-76.718132
412.109375	-76.637123
413.085938	-76.564949
414.062500	-76.645729
415.039062	-76.995728
416.015625	-76.129883
416.992188	-76.714279
417.968750	-76.689774
418.945312	-76.586136
419.921875	-76.696182
420.898438	-76.414055
421.875000	-76.534668
422.851562	-75.802940
423.828125	-77.075409
424.804688	-75.832100
425.781250	-75.560089
426.757812	-76.232719
427.734375	-76.406219
428.710938	-76.537239
429.687500	-76.076645
430.664062	-75.983177
431.640625	-75.471992
432.617188	-76.466476
433.593750	-75.872513
434.570312	-75.177391
435.546875	-76.527710
436.523438	-76.251511
437.500000	-75.258331
438.476562	-76.081818
439.453125	-75.645927
440.429688	-76.284866
441.406250	-74.837181
442.382812	-75.399864
443.359375	-75.477577
444.335938	-75.115471
445.312500	-75.142578
446.289062	-74.949181
447.265625	-74.611565
448.242188	-74.290535
449.218750	-74.822968
450.195312	-75.520218
451.171875	-74.687073
452.148438	-74.412323
453.125000	-74.037643
454.101562	-74.283081
455.078125	-73.804604
456.054688	-74.079376
457.031250	-74.411522
458.007812	-74.845345
458.984375	-74.258347
459.960938	-73.789871
460.937500	-73.743423
