Frequency (Hz)	Level (dB)
283.203125	-62.928638
284.179688	-62.733818
285.156250	-63.175034
286.132812	-63.138763
287.109375	-62.911282
288.085938	-62.604179
289.062500	-61.867851
290.039062	-63.009457
291.015625	-63.369812
291.992188	-62.734993
292.968750	-63.268478
293.945312	-63.630310
294.921875	-64.342041
295.898438	-63.375217
296.875000	-64.011490
297.851562	-64.784492
298.828125	-64.989807
299.804688	-65.256226
300.781250	-65.812088
301.757812	-66.135635
302.734375	-65.251663
303.710938	-65.798904
304.687500	-65.921539
305.664062	-66.615517
306.640625	-66.804848
307.617188	-66.757294
308.593750	-66.326881
309.570312	-67.636925
310.546875	-67.715813
311.523438	-68.508224
312.500000	-68.240990
313.476562	-68.903580
314.453125	-68.716888
315.429688	-68.186348
316.406250	-68.144012
317.382812	-69.970367
318.359375	-69.711494
319.335938	-69.718155
320.312500	-70.523453
321.289062	-70.515030
322.265625	-70.842880
323.242188	-70.462669
324.218750	-71.364616
325.195312	-70.747932
326.171875	-70.890106
327.148438	-72.002823
328.125000	-70.857628
329.101562	-72.581352
330.078125	-71.790596
331.054688	-71.706573
332.031250	-71.502457
333.007812	-71.428368
333.984375	-71.716721
334.960938	-73.025948
335.937500	-72.304092
336.914062	-73.441124
337.890625	-71.577126
338.867188	-72.669922
339.843750	-72.980499
340.820312	-73.274139
341.796875	-73.986366
342.773438	-73.831184
343.750000	-73.246368
344.726562	-72.978363
345.703125	-74.148773
346.679688	-73.871742
347.656250	-73.225349
348.632812	-73.570885
349.609375	-74.101952
350.585938	-74.323753
351.562500	-74.457222
352.539062	-74.339119
353.515625	-74.621437
354.492188	-74.666328
355.468750	-74.169037
356.445312	-74.284340
357.421875	-74.261497
358.398438	-74.516815
359.375000	-75.002640
360.351562	-75.630692
361.328125	-75.219543
362.304688	-75.002808
363.281250	-75.464355
364.257812	-75.508560
365.234375	-75.363235
366.210938	-75.260010
367.187500	-75.399727
368.164062	-74.990471
369.140625	-76.176109
370.117188	-75.825264
371.093750	-75.234337
372.070312	-76.026581
373.046875	-75.723648
374.023438	-75.968315
375.000000	-76.308281
375.976562	-76.140213
376.953125	-76.420853
377.929688	-75.846252
378.906250	-76.000221
379.882812	-75.453522
380.859375	-76.589081
381.835938	-76.806389
382.812500	-77.411522
383.789062	-76.325485
384.765625	-76.503860
385.742188	-77.039444
386.718750	-77.038513
387.695312	-76.024033
388.671875	-77.307182
389.648438	-77.070961
390.625000	-76.756737
391.601562	-77.231194
392.578125	-77.239952
393.554688	-75.938698
394.531250	-76.936310
395.507812	-76.557327
396.484375	-76.294624
397.460938	-77.349205
398.437500	-76.756821
399.414062	-76.911255
400.390625	-77.262260
401.367188	-76.846329
402.343750	-77.223343
403.320312	-77.362320
404.296875	-76.762085
405.273438	-77.034355
406.250000	-77.589539
407.226562	-77.038780
408.203125	-77.163216
409.179688	-76.881836
410.156250	-77.664726
411.132812	-77.186340
412.109375	-76.922005
413.085938	-77.084053
414.062500	-77.376450
415.039062	-77.662628
416.015625	-76.869102
416.992188	-77.454811
417.968750	-77.267296
418.945312	-77.141304
419.921875	-77.394402
420.898438	-77.482552
421.875000	-77.148941
422.851562	-76.763039
423.828125	-77.920853
424.804688	-76.486168
425.781250	-76.508430
426.757812	-77.196922
427.734375	-77.508385
428.710938	-77.498734
429.687500	-77.268059
430.664062	-77.495468
431.640625	-76.472023
432.617188	-77.653023
433.593750	-77.197586
434.570312	-76.225281
435.546875	-77.841713
436.523438	-77.387497
437.500000	-76.453110
438.476562	-77.654839
439.453125	-77.107048
440.429688	-77.749985
441.406250	-76.554024
442.382812	-77.001877
443.359375	-77.220650
444.335938	-76.739349
445.312500	-76.887833
446.289062	-76.684090
447.265625	-76.132690
448.242188	-76.138916
