Frequency (Hz)	Level (dB)
283.203125	-76.268898
284.179688	-76.230179
285.156250	-76.722244
286.132812	-76.704292
287.109375	-76.468567
288.085938	-76.030762
289.062500	-75.069557
290.039062	-76.055779
291.015625	-76.235466
291.992188	-75.360809
292.968750	-75.380409
293.945312	-75.292450
294.921875	-75.915527
295.898438	-74.719040
296.875000	-74.732285
297.851562	-75.295135
298.828125	-74.811485
299.804688	-74.866974
300.781250	-75.120682
301.757812	-74.684677
302.734375	-73.592003
303.710938	-73.762093
304.687500	-73.591293
305.664062	-73.862808
306.640625	-73.406113
307.617188	-73.161407
308.593750	-72.277092
309.570312	-73.415962
310.546875	-72.815529
311.523438	-73.147690
312.500000	-72.652184
313.476562	-72.813911
314.453125	-72.234238
315.429688	-71.379494
316.406250	-71.075409
317.382812	-72.355637
318.359375	-71.490974
319.335938	-71.509193
320.312500	-71.893829
321.289062	-71.664017
322.265625	-71.509277
323.242188	-70.772095
324.218750	-71.359741
325.195312	-70.376625
326.171875	-70.225616
327.148438	-70.925026
328.125000	-69.468102
329.101562	-70.758156
330.078125	-69.719894
331.054688	-69.187378
332.031250	-68.756973
333.007812	-68.143555
333.984375	-68.122360
334.960938	-69.066643
335.937500	-67.740646
336.914062	-68.669525
337.890625	-66.474854
338.867188	-67.359070
339.843750	-67.100349
340.820312	-67.180832
341.796875	-67.252502
342.773438	-67.028053
343.750000	-65.684990
344.726562	-65.122063
345.703125	-65.860863
346.679688	-65.554741
347.656250	-64.358582
348.632812	-64.431625
349.609375	-64.503746
350.585938	-64.189980
351.562500	-63.853638
352.539062	-63.683163
353.515625	-63.702324
354.492188	-63.296265
355.468750	-62.486259
356.445312	-62.450264
357.421875	-62.429798
358.398438	-62.388023
359.375000	-62.483360
360.351562	-63.100727
361.328125	-62.665668
362.304688	-62.211830
363.281250	-62.529831
364.257812	-62.466713
365.234375	-62.684845
366.210938	-62.607494
367.187500	-62.409573
368.164062	-62.356232
369.140625	-63.465115
370.117188	-63.336273
371.093750	-62.969002
372.070312	-63.463676
373.046875	-63.797985
374.023438	-63.779781
375.000000	-64.925194
375.976562	-64.650558
376.953125	-65.340157
377.929688	-64.799301
378.906250	-65.037979
379.882812	-64.871056
380.859375	-66.121811
381.835938	-66.583153
382.812500	-67.458626
383.789062	-66.380753
384.765625	-66.799507
385.742188	-67.592545
386.718750	-67.890549
387.695312	-67.298637
388.671875	-68.538582
389.648438	-68.547279
390.625000	-68.239906
391.601562	-69.054588
392.578125	-69.159515
393.554688	-67.984001
394.531250	-69.316483
395.507812	-68.795250
396.484375	-68.795578
397.460938	-70.333252
398.437500	-70.057610
399.414062	-69.949837
400.390625	-70.537712
401.367188	-70.404518
402.343750	-70.757248
403.320312	-70.939735
404.296875	-70.492233
405.273438	-71.047409
406.250000	-71.605904
407.226562	-71.205986
408.203125	-71.204353
409.179688	-71.501892
410.156250	-72.285942
411.132812	-71.858894
412.109375	-71.836815
413.085938	-72.128792
414.062500	-72.359657
415.039062	-72.940430
416.015625	-72.085609
416.992188	-72.827156
417.968750	-72.818161
418.945312	-72.885803
419.921875	-73.242775
420.898438	-73.247292
421.875000	-73.118950
422.851562	-72.799683
423.828125	-74.291656
424.804688	-73.031746
425.781250	-72.927773
426.757812	-73.832466
427.734375	-74.214249
428.710938	-74.212532
429.687500	-74.137192
430.664062	-74.354195
431.640625	-73.593552
432.617188	-74.808380
433.593750	-74.368286
434.570312	-73.714272
435.546875	-75.274536
436.523438	-75.034065
437.500000	-74.134552
438.476562	-75.474144
439.453125	-75.242172
440.429688	-75.638634
441.406250	-74.427139
442.382812	-75.180756
443.359375	-75.568954
444.335938	-75.186699
445.312500	-75.257683
446.289062	-75.208565
447.265625	-74.944069
448.242188	-74.964821
449.218750	-75.537132
450.195312	-76.095772
451.171875	-75.427902
452.148438	-75.414291
453.125000	-75.268120
454.101562	-75.726105
455.078125	-75.352303
456.054688	-75.739639
457.031250	-76.225067
458.007812	-76.740547
458.984375	-76.458237
459.960938	-75.986427
460.937500	-75.981331
461.914062	-76.211800
462.890625	-76.621613
463.867188	-76.449287
464.843750	-76.731987
465.820312	-76.032135
466.796875	-76.529411
467.773438	-76.692184
468.750000	-77.268478
469.726562	-77.017715
470.703125	-76.994995
471.679688	-76.663368
472.656250	-76.310211
473.632812	-78.035995
474.609375	-76.880630
475.585938	-77.538368
476.562500	-76.945473
477.539062	-77.208809
478.515625	-77.085678
479.492188	-76.680786
480.468750	-77.929611
481.445312	-77.137375
