Frequency (Hz)	Level (dB)
283.203125	-65.398277
284.179688	-64.998558
285.156250	-65.314621
286.132812	-65.191978
287.109375	-64.777275
288.085938	-64.363586
289.062500	-63.469917
290.039062	-64.292946
291.015625	-64.474541
291.992188	-63.638515
292.968750	-63.957870
293.945312	-64.249367
294.921875	-64.882782
295.898438	-63.662022
296.875000	-64.311775
297.851562	-64.868202
298.828125	-64.872398
299.804688	-65.270111
300.781250	-65.809746
301.757812	-66.096924
302.734375	-65.206444
303.710938	-65.697227
304.687500	-66.004845
305.664062	-66.383774
306.640625	-66.596886
307.617188	-66.793381
308.593750	-66.324364
309.570312	-67.482101
310.546875	-67.500603
311.523438	-68.466278
312.500000	-68.236214
313.476562	-68.912743
314.453125	-68.646431
315.429688	-68.427696
316.406250	-68.246147
317.382812	-69.990547
318.359375	-69.772346
319.335938	-69.963158
320.312500	-70.761520
321.289062	-70.750954
322.265625	-71.171989
323.242188	-70.740242
324.218750	-71.688736
325.195312	-71.177086
326.171875	-71.256714
327.148438	-72.475044
328.125000	-71.385345
329.101562	-73.174034
330.078125	-72.376297
331.054688	-72.172356
332.031250	-71.943077
333.007812	-72.018410
333.984375	-72.509064
334.960938	-73.536491
335.937500	-72.817398
336.914062	-74.221031
337.890625	-72.248260
338.867188	-73.337692
339.843750	-73.814758
340.820312	-73.988052
341.796875	-74.586227
342.773438	-74.533699
343.750000	-74.025200
344.726562	-73.729309
345.703125	-74.962173
346.679688	-74.795013
347.656250	-74.022835
348.632812	-74.326920
349.609375	-75.033340
350.585938	-75.242073
351.562500	-75.155540
352.539062	-75.064896
353.515625	-75.626175
354.492188	-75.389420
355.468750	-74.966507
356.445312	-75.263809
357.421875	-75.408325
358.398438	-75.457138
359.375000	-76.067368
360.351562	-76.807358
361.328125	-76.555138
362.304688	-76.169472
363.281250	-76.448219
364.257812	-76.672096
365.234375	-76.323128
366.210938	-76.382881
367.187500	-76.442467
368.164062	-75.831787
369.140625	-77.167328
370.117188	-76.902672
371.093750	-76.356422
372.070312	-77.015205
373.046875	-76.820892
374.023438	-76.797935
375.000000	-77.567177
375.976562	-77.168106
376.953125	-77.734589
377.929688	-76.886803
378.906250	-77.033821
379.882812	-76.589874
380.859375	-77.687454
381.835938	-77.926682
382.812500	-78.410789
383.789062	-77.412483
384.765625	-77.796700
385.742188	-78.311852
386.718750	-78.165054
387.695312	-77.387970
388.671875	-78.558182
389.648438	-78.438873
390.625000	-78.033676
391.601562	-78.458748
392.578125	-78.611389
393.554688	-77.358986
394.531250	-78.176414
395.507812	-77.913445
396.484375	-77.330818
397.460938	-78.698959
398.437500	-78.326897
399.414062	-78.261894
400.390625	-78.695717
401.367188	-77.984055
402.343750	-78.667030
403.320312	-78.597893
404.296875	-78.042885
405.273438	-78.483192
406.250000	-78.973122
407.226562	-78.547249
408.203125	-78.440620
409.179688	-78.096481
410.156250	-78.925850
411.132812	-78.466782
412.109375	-78.246986
413.085938	-78.479805
414.062500	-78.701149
415.039062	-78.998657
416.015625	-78.110344
416.992188	-78.771935
417.968750	-78.874123
418.945312	-78.746109
419.921875	-78.650269
420.898438	-78.705788
421.875000	-78.651062
422.851562	-78.083618
423.828125	-79.407120
424.804688	-78.019096
425.781250	-77.938995
426.757812	-78.626495
427.734375	-78.756622
428.710938	-79.096977
429.687500	-78.598114
430.664062	-78.892998
431.640625	-78.057701
432.617188	-79.191162
433.593750	-78.540718
434.570312	-77.784668
435.546875	-79.581848
436.523438	-79.041374
437.500000	-77.989822
438.476562	-79.196571
439.453125	-78.639610
440.429688	-79.211044
441.406250	-78.261299
442.382812	-78.594940
443.359375	-78.983582
444.335938	-78.268295
445.312500	-78.352104
446.289062	-78.073105
447.265625	-77.817490
448.242188	-77.726990
449.218750	-78.246223
450.195312	-79.103615
451.171875	-78.318977
452.148438	-77.923187
453.125000	-77.651421
454.101562	-78.108658
455.078125	-77.446594
456.054688	-78.255615
457.031250	-78.322350
458.007812	-78.730637
458.984375	-78.546974
459.960938	-77.888481
460.937500	-77.764397
461.914062	-77.924568
462.890625	-78.350052
463.867188	-77.901352
464.843750	-78.478546
465.820312	-77.648827
466.796875	-78.009468
467.773438	-78.081184
468.750000	-78.622849
469.726562	-78.222694
470.703125	-77.989983
471.679688	-77.603981
472.656250	-77.201210
473.632812	-78.946175
474.609375	-77.479172
475.585938	-78.080765
476.562500	-77.580811
477.539062	-77.576500
478.515625	-77.389931
479.492188	-77.017708
480.468750	-77.917114
481.445312	-77.155777
482.421875	-76.896851
483.398438	-76.610664
484.375000	-76.841026
485.351562	-77.925629
486.328125	-77.644768
487.304688	-77.319618
488.281250	-76.482994
489.257812	-76.393616
490.234375	-77.598930
491.210938	-76.735550
492.187500	-76.634575
493.164062	-77.076820
494.140625	-76.394844
495.117188	-75.784195
496.093750	-76.077759
